time,hit_id,channel,param_id,amplitude,duration,energy,rms,threshold,rise_time,signal_strength,counts,trai,set_id
121.6685593,1.0,1.0,2.0,0.00046581290974600863,0.0004171,1433.5707465295725,7.452305096495579e-06,0.00017810493607935623,0.00011430000000000001,82.55421943881271,13.0,12.0,201.0
121.668538,1.0,2.0,3.0,0.0003409872280493658,0.0003624,1129.7297212203719,1.0574890766111531e-05,0.00017810493607935623,0.00016910000000000002,71.08182680544542,18.0,10.0,199.0
121.66852089999999,1.0,3.0,4.0,0.0006743631340440583,0.0004295,2197.222632565879,7.821428642105133e-06,0.00017810493607935623,8.02e-05,96.15108412238001,21.0,9.0,198.0
121.66853809999999,1.0,4.0,5.0,0.0006363065237706915,0.00043870000000000004,1493.4379897899357,6.235195027188404e-06,0.00017810493607935623,3.8100000000000005e-05,78.46237301366392,17.0,11.0,200.0
125.01527569999999,2.0,1.0,2.0,0.00020550569547618029,1e-06,58.404570706113546,5.616663680491314e-06,0.00017810493607935623,5e-07,11.398410588626875,0.0,16.0,210.0
125.01522369999999,2.0,2.0,3.0,0.00020855022429804962,7.000000000000001e-07,128.5262794085956,1.0135933036197468e-05,0.00017810493607935623,4.0000000000000003e-07,18.174313418843486,1.0,15.0,209.0
125.01519069999999,2.0,3.0,4.0,0.00045667932328040064,0.0002215,486.4708024288343,7.382470912191069e-06,0.00017810493607935623,1.4200000000000001e-05,38.18051969037449,14.0,14.0,208.0
125.01519019999999,2.0,4.0,5.0,0.0003090196754197378,0.00016570000000000002,399.769542748309,5.786260985230839e-06,0.00017810493607935623,6.879999999999999e-05,31.059062865176934,16.0,13.0,207.0
126.8904232,3.0,1.0,2.0,0.0004399344147601193,0.00010710000000000001,461.5962852353412,5.397184815534282e-06,0.00017810493607935623,2.0900000000000003e-05,31.182366273077623,12.0,20.0,217.0
126.89041479999999,3.0,2.0,3.0,0.00035164307892590846,6.64e-05,252.96634481962843,9.657070058109398e-06,0.00017810493607935623,1.8900000000000002e-05,21.115632489778186,10.0,19.0,216.0
126.89038819999999,3.0,3.0,4.0,0.0005754159473333048,0.0001473,755.3953868113516,7.222849919495047e-06,0.00017810493607935623,4.96e-05,38.482536926516424,19.0,17.0,214.0
126.89040109999999,3.0,4.0,5.0,0.0008722575074655652,0.00021370000000000002,1827.2449860779511,5.5967110564043104e-06,0.00017810493607935623,4.27e-05,68.83405134734471,29.0,18.0,215.0
146.7480459,4.0,1.0,2.0,0.003575799101285537,0.0009671,49377.12032146587,5.886024105665853e-06,0.00017810493607935623,9.980000000000001e-05,496.8207890763532,55.0,23.0,251.0
146.74804699999999,4.0,2.0,3.0,0.0028192336890510063,0.0009121,41364.29974868593,1.0515032893850524e-05,0.00017810493607935623,8.930000000000002e-05,441.62348573710665,54.0,24.0,252.0
146.7480452,4.0,3.0,4.0,0.004344542628807545,0.0010105,26584.09777328821,7.532115592843591e-06,0.00017810493607935623,3.83e-05,328.4084277727074,53.0,21.0,249.0
146.7480458,4.0,4.0,5.0,0.0024341007930845353,0.0008652,23959.102926575153,5.975810914057366e-06,0.00017810493607935623,7.55e-05,318.3943643340174,60.0,22.0,250.0
156.5621447,5.0,1.0,2.0,0.0013563375901427899,0.0005575,6675.594528719169,5.826166233404844e-06,0.00017810493607935623,9.65e-05,159.40177448826614,56.0,25.0,270.0
156.5621515,5.0,2.0,3.0,0.0027035415938199718,0.0005327,9726.632336146444,1.0664677574503046e-05,0.00017810493607935623,3.0400000000000004e-05,175.14076948785626,55.0,28.0,273.0
156.5621453,5.0,3.0,4.0,0.0018632516389840345,0.0007877,9229.07302976832,7.731641833713621e-06,0.00017810493607935623,5.96e-05,206.0804868322997,52.0,26.0,271.0
156.5621482,5.0,4.0,5.0,0.001820628235477864,0.0005633999999999999,6921.362077515144,6.0057398501878705e-06,0.00017810493607935623,5.52e-05,161.1676010705476,59.0,27.0,272.0
156.56594379999999,6.0,1.0,2.0,0.006672084913126653,0.0009554000000000001,134330.82703377624,5.826166233404844e-06,0.00017810493607935623,5.9300000000000005e-05,663.7656875995514,77.0,30.0,275.0
156.5659478,6.0,2.0,3.0,0.004927569898195523,0.0009598,40042.68740972137,1.0664677574503046e-05,0.00017810493607935623,3.1700000000000005e-05,393.2800251599843,67.0,32.0,277.0
156.56594389999998,6.0,3.0,4.0,0.005878985155029691,0.0018407,83119.15568609309,7.731641833713621e-06,0.00017810493607935623,2.3700000000000003e-05,652.5423374048576,93.0,31.0,276.0
156.565943,6.0,4.0,5.0,0.007874673797765042,0.0012261000000000001,150111.53707902745,6.0057398501878705e-06,0.00017810493607935623,5.41e-05,820.8146503933569,145.0,29.0,274.0
165.24437709999998,8.0,1.0,2.0,0.00252695892215155,0.0006315,19043.084571543437,5.985787226100867e-06,0.00017810493607935623,6.32e-05,239.163552304202,59.0,36.0,297.0
165.2443893,8.0,2.0,3.0,0.0006941525713862089,0.0005433,2473.9914241884776,1.007607516393646e-05,0.00017810493607935623,2.8700000000000003e-05,108.3779109403841,38.0,39.0,300.0
165.24437939999999,8.0,3.0,4.0,0.0016531791502750503,0.0005419,8346.827504726985,7.80147601801813e-06,0.00017810493607935623,4.64e-05,159.11802442366505,54.0,38.0,299.0
165.2443792,8.0,4.0,5.0,0.0023199309622644352,0.0008164000000000001,15287.674086189132,5.995763538144368e-06,0.00017810493607935623,5.01e-05,252.54242874071525,90.0,37.0,298.0
168.5735611,9.0,1.0,2.0,0.0012802243695960564,0.0004623,3722.341108812193,6.0456450983618754e-06,0.00017810493607935623,8.66e-05,107.37808775138197,48.0,41.0,307.0
