,0,1,2,3,4,5
0,5185.33952076171,4.642112953419061e-06,1.0,1.0,1.0,8823378.711588735
1,5170.387878850172,9.965438478082961e-06,1.0,1.0,2.0,9099590.117985262
2,5539.698556342913,7.742186586373842e-06,1.0,1.0,3.0,11513407.978619907
3,5302.402941277687,8.127054967676099e-06,1.0,1.0,4.0,9763337.941273782
4,5007.565361917884,1.1647135041646904e-05,1.0,1.0,6.0,7338123.209427066
5,4954.344886029412,1.680228522659384e-05,1.0,1.0,8.0,6401989.186989185
6,5323.981231791197,4.482169562806314e-06,1.0,2.0,1.0,9789172.680753231
7,5393.627141786521,9.55951553481323e-06,1.0,2.0,2.0,10535545.001493242
8,5005.255765149885,8.602082603464237e-06,1.0,2.0,3.0,7965422.844675087
9,5017.603689094026,8.678285740540442e-06,1.0,2.0,4.0,8044043.413753361
10,4961.399305786059,1.1499819332231828e-05,1.0,2.0,5.0,7071553.37696105
11,5658.583994068318,1.0213556167499135e-05,1.0,2.0,6.0,12619854.591329223
12,5080.695113264259,9.984901070784815e-06,1.0,2.0,7.0,8549215.622398516
13,5175.142342066749,1.5813673459245445e-05,1.0,2.0,8.0,7689295.39121202
14,5605.232054137907,4.447430291262841e-06,1.0,3.0,1.0,12014842.57388721
15,5098.278028537438,1.0196240422266136e-05,1.0,3.0,2.0,8694394.705496224
16,6301.378494193972,6.720642285705269e-06,1.0,3.0,3.0,19167920.464035936
17,5239.410411292803,1.0672678237014876e-05,1.0,3.0,6.0,9623053.40958067
18,5018.572346103563,1.0398663654140961e-05,1.0,3.0,7.0,4312894.757607182
19,5068.407196357273,1.63195565033573e-05,1.0,3.0,8.0,7032959.734903147
20,5356.594411491726,4.36728427187428e-06,2.0,1.0,1.0,10027984.066688666
21,5272.70029512049,9.251692947840967e-06,2.0,1.0,2.0,9678067.230676718
22,5102.616980521454,4.569504158546925e-06,2.0,2.0,1.0,8283548.454252752
23,5062.829790851935,9.824457703492616e-06,2.0,2.0,2.0,8419841.989357814
24,4909.855968947888,8.660512647213188e-06,2.0,2.0,3.0,7424287.255393408
25,5234.733153562544,1.551386591485732e-05,2.0,2.0,9.0,8093501.012118069
26,5087.618435630069,4.6522849944875775e-06,2.0,3.0,1.0,8191012.817294439
27,5253.937602615834,9.41526760586648e-06,2.0,3.0,2.0,9576458.967819713
28,5789.342480493878,9.424246983829083e-06,2.0,3.0,7.0,13710752.414253604
29,5095.098920422102,1.6210911515139063e-05,2.0,3.0,9.0,7189179.587000299
30,6352.6814350983395,1.4266502508325438e-05,3.0,1.0,1.0,19558582.73070415
31,6364.427866708438,1.7521146712921834e-05,3.0,1.0,2.0,17345714.119288646
